Participant Private ID,UTC Date and Time,Experiment Version,Participant Device,Participant Browser,randomiser-evbs,attention_start,attention_start object-14 Quantised,consent1,consent2,consent3,consent4,recontact,recontact object-19 Quantised,age_month,age_year,gender,gender_other,worksit,worksit_other,education,education_other,ideology,partisanship,partisanship_other,conservative_rating,labour_rating,libdem_rating,green_rating,reform_rating,crt1,crt2,crt3,o_immigration,o_climate,o_punishment,o_teaculture,o_brain,attention_check,o_discrimination,o_cats,o_selfenhancement,o_adoption,o_gender,dog01,dog02,dog03,dog04,dog05,dog06,dog07,dog08,dog09,dog10,dog11,attention_end,age_corrected
11694686,12/09/2024 11:30:49,38,Desktop or Laptop,Chrome 128.0.0.0,Start P,Yes,1,1,1,1,1,No,2,7,34,female,,Self-employed,,"Masters Degree, M.Phil, Post-Graduate Diplomas and Certificates",,Left,Labour,,29,77,68,65,0,8,10,39,Strongly disagree,Strongly agree,Disagree,Agree,Agree,Strongly agree,Neutral,Neutral,Neutral,Strongly agree,Strongly disagree,Disagree,Agree,Disagree,Strongly agree,Agree,Disagree,Agree,Agree,Agree,Strongly disagree,Neutral,Yes,34
11694688,12/09/2024 11:31:07,38,Desktop or Laptop,Chrome 109.0.0.0,Start P,Yes,1,1,1,1,1,Yes,1,0,38,male,,Employed,,"Bachelors degree (BA, BSc., BEd., BEng.)",,Slightly left,Labour,,5,65,15,65,0,4,10,39,Strongly disagree,Strongly agree,Disagree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Neutral,Disagree,Disagree,Agree,Disagree,Strongly agree,Strongly agree,Neutral,Strongly agree,Agree,Strongly agree,Strongly disagree,Disagree,Yes,38
11694689,12/09/2024 11:31:29,38,Desktop or Laptop,Edge 128.0.0.0,Start P,Yes,1,1,1,1,1,Yes,1,0,19,female,,At university,,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",,Left,Liberal Democrat,,0,53,89,87,0,4,50,39,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Neutral,Strongly agree,Strongly agree,Neutral,Disagree,Agree,Strongly disagree,Disagree,Agree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly disagree,Disagree,Yes,19
11694690,12/09/2024 11:31:08,38,Desktop or Laptop,Chrome 128.0.0.0,Start P,Yes,1,1,1,1,1,Yes,1,9,31,female,,Employed,,Secondary school up to 16 years (GCSEs or equivalent),,Moderate,Labour,,19,47,28,47,15,8,50,20,Neutral,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Disagree,Disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Yes,31
11694694,12/09/2024 11:31:24,38,Desktop or Laptop,Chrome 128.0.0.0,Start M,Yes,1,1,1,1,1,No,2,10,33,male,,Employed,,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",,Slightly left,SNP,,0,35,20,50,0,4,50,39,Disagree,Disagree,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Agree,Disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Strongly agree,Disagree,Disagree,Yes,33
11694695,12/09/2024 11:31:28,38,Desktop or Laptop,Chrome 128.0.0.0,Start M,Yes,1,1,1,1,1,Yes,1,3,37,female,,Employed,,"Bachelors degree (BA, BSc., BEd., BEng.)",,Left,Labour,,6,79,63,60,1,7,10,39,Agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Agree,Disagree,Neutral,Strongly agree,Strongly disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Neutral,Disagree,Yes,37
11694697,12/09/2024 11:31:31,38,Desktop or Laptop,Chrome 128.0.0.0,Start P,Yes,1,1,1,1,1,Yes,1,11,18,female,,At university,,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",,Left,Liberal Democrat,,20,52,72,62,0,8,50,20,Disagree,Agree,Neutral,Strongly agree,Agree,Strongly agree,Agree,Agree,Neutral,Strongly agree,Strongly disagree,Neutral,Agree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly agree,Agree,Neutral,Disagree,Yes,18
11694698,12/09/2024 11:31:45,38,Desktop or Laptop,Chrome 128.0.0.0,Start M,Yes,1,1,1,1,1,Yes,1,8,31,female,,Employed,,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",,Left,Labour,,7,83,49,92,7,4,10,39,Neutral,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Disagree,Disagree,Strongly agree,Disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Neutral,Disagree,Yes,31
11694699,12/09/2024 11:31:46,38,Desktop or Laptop,Chrome 128.0.0.0,Start P,Yes,1,1,1,1,1,Yes,1,11,30,male,,Employed,,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",,Left,Labour,,0,27,9,2,15,8,5,20,Strongly agree,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Disagree,Strongly agree,Neutral,Strongly agree,Agree,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Yes,30
11694702,12/09/2024 11:32:13,38,Desktop or Laptop,Chrome 128.0.0.0,Start P,Yes,1,1,1,1,1,Yes,1,1,24,female,,Unemployed,,"Bachelors degree (BA, BSc., BEd., BEng.)",,Left,Labour,,11,51,63,70,0,4,10,39,Disagree,Strongly agree,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly disagree,Neutral,Strongly agree,Disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Yes,24
