subj_idx,commission_errors,commission_errors_r,omission_errors,go_accuracy,nogo_accuracy,overall_accuracy,rt_go_avg,rt_nogo_avg
139,10,46,11,95.06726457399103,82.45614035087719,92.5,316.59858490575493,294.95000000006405
140,21,35,4,98.20627802690582,63.1578947368421,91.07142857142857,347.4397260273657,300.7476190476057
141,31,25,8,96.41255605381166,45.614035087719294,86.07142857142858,347.38651162635654,310.04193549463525
142,23,33,7,96.72897196261682,59.64912280701754,88.92988929889299,304.83526570559343,259.01739130888524
143,20,36,5,97.75784753363229,64.91228070175438,91.07142857142857,317.66926605539913,288.2500000003973
144,13,43,6,97.30941704035875,77.19298245614034,93.21428571428572,327.75714286033013,293.8461538241446
145,24,32,56,74.42922374429224,57.14285714285714,70.9090909090909,308.4306748469264,295.5041666667942
146,18,38,15,93.27354260089686,68.42105263157895,88.21428571428571,330.28317307556114,281.5388888877335
147,29,27,34,84.47488584474885,46.2962962962963,76.92307692307693,307.71999999526145,275.7137930967759
148,9,47,2,99.10313901345292,84.21052631578947,96.07142857142857,355.16452488687867,330.7555555555478
149,26,30,0,100,53.57142857142857,90.68100358422939,320.82242152535514,300.75769230842315
150,18,38,5,97.74774774774775,68.42105263157895,91.75627240143369,361.0774193545116,332.1444444440745
151,25,31,7,96.8609865470852,56.14035087719298,88.57142857142857,365.1092592698023,317.1200000157347
152,5,51,7,96.8609865470852,91.07142857142857,95.6989247311828,376.11759259134783,254.480000002397
153,20,36,5,97.75784753363229,64.91228070175438,91.07142857142857,357.3889908254397,315.85499999977617
154,26,30,6,97.30941704035875,54.385964912280706,88.57142857142857,347.1506912556098,312.13846155267004
155,11,45,2,99.10313901345292,80.7017543859649,95.35714285714286,348.27330308176556,300.35454541119213
156,16,40,5,97.75784753363229,71.9298245614035,92.5,337.91513766094175,279.5312500461987
157,20,36,6,97.2972972972973,64.91228070175438,90.68100358422939,351.112499923175,314.40999990939747
158,19,37,7,96.8609865470852,66.66666666666666,90.71428571428571,357.01064813736036,324.69999998651053
159,20,36,9,95.94594594594594,64.28571428571429,89.568345323741,342.0441315234537,309.3650001192029
160,24,32,8,96.41255605381166,57.89473684210527,88.57142857142857,331.14744194385673,301.22916674017625
161,25,31,6,97.23502304147466,56.14035087719298,88.6861313868613,289.88341236329126,252.7840000381414
162,28,28,5,97.75784753363229,50.877192982456144,88.21428571428571,352.30229358126365,313.4035714336839
163,25,31,9,95.96412556053812,56.14035087719298,87.85714285714286,316.76392523364495,262.3151999999967
164,26,30,11,95.06726457399103,54.385964912280706,86.78571428571429,337.6764150943815,310.6115384615662
165,26,30,1,99.55156950672645,54.385964912280706,90.35714285714286,321.9288288283333,301.32692307594584
166,10,46,5,97.75784753363229,82.45614035087719,94.64285714285714,341.6192660606664,312.21000000716305
167,15,41,3,98.64864864864865,73.68421052631578,93.54838709677419,304.2936073072803,284.5800000015375
168,5,51,0,100,91.22807017543859,98.21428571428571,344.33049327640333,318.5000000029686
169,29,27,5,97.6958525345622,46.2962962962963,87.4538745387454,287.5132075471393,243.52758620725743
170,26,30,9,95.96412556053812,54.385964912280706,87.5,349.53177570164553,319.44230769313714
171,18,38,6,97.28506787330316,68.42105263157895,91.36690647482014,316.4274418617823,270.4888888898794
172,11,45,54,75.67567567567568,80.35714285714286,76.61870503597122,333.24345238128416,289.49090909114534
173,8,48,2,99.10313901345292,85.96491228070175,96.42857142857143,329.7199094105624,296.58749992249795
174,15,41,13,94.17040358744396,73.21428571428571,89.96415770609319,331.1923809512499,302.97999999891425
175,24,32,14,93.72197309417041,57.89473684210527,86.42857142857143,345.508133973821,309.38333333544324
176,24,32,2,99.10313901345292,57.89473684210527,90.71428571428571,311.92895909520684,278.1583331664436
177,16,40,3,98.65470852017937,71.9298245614035,93.21428571428572,322.82454540967973,291.88124994784175
178,25,31,13,94.14414414414415,56.14035087719298,86.37992831541219,315.7339713630469,266.792000114441
179,4,52,4,98.20627802690582,92.98245614035088,97.14285714285714,373.1579908648726,300.14999999628344
180,24,32,26,88.34080717488789,57.89473684210527,82.14285714285714,337.63451776664,307.3458333334359
181,11,45,6,97.2972972972973,80.7017543859649,93.9068100358423,346.2805555547295,315.0545454588851
182,13,43,2,99.10313901345292,77.19298245614034,94.64285714285714,340.1638009076753,307.73846154190187
183,8,48,44,80,85.71428571428571,81.15942028985508,380.66113636363804,308.13000000000466
184,7,49,1,99.55156950672645,87.71929824561403,97.14285714285714,331.3036036036148,300.67142857164225
185,13,43,1,99.55156950672645,77.19298245614034,95,329.1865765765773,308.32923076922623
186,21,35,6,97.30941704035875,63.1578947368421,90.35714285714286,333.3373271919187,311.4714285719965
187,18,38,9,95.94594594594594,68.42105263157895,90.32258064516128,322.4276995394747,275.1666666805734
188,19,37,113,49.0990990990991,66.66666666666666,52.68817204301075,364.91376147718455,321.76315790477304
189,5,51,36,83.85650224215246,91.22807017543859,85.35714285714285,371.8609625654775,298.25999999881026
