Participant Private ID,UTC Date and Time,Experiment Version,Participant Device,Participant Browser,randomiser-evbs,attention_start,attention_start object-14 Quantised,consent1,consent2,consent3,consent4,recontact,recontact object-19 Quantised,age_month,age_year,gender,gender_other,worksit,worksit_other,education,education_other,ideology,partisanship,partisanship_other,conservative_rating,labour_rating,libdem_rating,green_rating,reform_rating,crt1,crt2,crt3,o_immigration,o_climate,o_punishment,o_teaculture,o_brain,attention_check,o_discrimination,o_cats,o_selfenhancement,o_adoption,o_gender,dog01,dog02,dog03,dog04,dog05,dog06,dog07,dog08,dog09,dog10,dog11,attention_end,age_corrected,subj_idx,ideology_num,edu_group,age_group,questionnaire_attention_check,crt_correct,dog02_r,dog04_r,dog05_r,dog07_r,dog08_r,dog09_r,dogmatism,affective_polarisation,m_climate,m_immigration,m_punishment,m_teaculture,m_brain,m_gender,m_discrimination,m_adoption,m_selfenhancement,m_cats,s_climate,s_immigration,s_punishment,s_teaculture,s_brain,s_gender,s_discrimination,s_adoption,s_selfenhancement,s_cats,ideo_group,ideo_strength,ideo_m_climate,ideo_m_adoption,ideo_m_punishment,ideo_m_gender,ideo_m_discrimination,ideo_m_immigration,ideo_m_teaculture,ideo_m_brain,ideo_m_cats,self_m_enhancement
11694877,12/09/2024 11:44:25,38,Desktop or Laptop,Chrome 128.0.0.0,Start P,Yes,1,1,1,1,1,Yes,1,10,21,female,,At university,,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",,Slightly left,Labour,,20,72,80,86,0,8,50,20,Strongly disagree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Strongly disagree,2,4,1,5,4,2,4,4,5,2,2,Yes,21,358,3,ISCED 3-4,18-24,passed,0,2,1,2,2,2,1,19,34.83446569132359,Higher,Lower,Higher,Higher,Higher,Higher,Lower,Lower,Lower,Neutral,1,2,1,2,1,2,2,1,1,,Left,1,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
11694879,12/09/2024 11:44:35,38,Desktop or Laptop,Opera 113.0.0.0,Start M,Yes,1,1,1,1,1,Yes,1,2,21,male,,At university,,"Bachelors degree (BA, BSc., BEd., BEng.)",,Extremely left,Green,,0,65,55,70,0,4,10,39,Strongly disagree,Strongly agree,Disagree,Neutral,Neutral,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly disagree,2,5,1,4,4,2,5,4,4,3,3,Yes,21,143,1,ISCED 5-8,18-24,passed,3,1,2,2,1,2,2,21,31.400636936215164,Higher,Lower,Lower,Neutral,Neutral,Higher,Lower,Lower,Lower,Neutral,2,2,1,,,2,2,2,1,,Left,3,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
11694880,12/09/2024 11:45:30,38,Desktop or Laptop,Chrome 128.0.0.0,Start M,Yes,1,1,1,1,1,Yes,1,6,34,male,,Employed,,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",,Right,Reform UK,,41,22,49,58,85,8,10,20,Neutral,Neutral,Agree,Neutral,Neutral,Strongly agree,Neutral,Agree,Neutral,Neutral,Neutral,4,3,3,4,4,3,2,3,3,4,3,Yes,34,124,6,ISCED 3-4,Above 32,passed,1,3,2,2,4,3,3,34,20.73644135332772,Neutral,Neutral,Higher,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Lower,,,1,,,,,,,1,Right,2,Lower,Higher,Higher,Lower,Higher,Higher,Higher,Higher,Higher,Higher
11694881,12/09/2024 11:45:04,38,Desktop or Laptop,Chrome 128.0.0.0,Start M,Yes,1,1,1,1,1,Yes,1,5,21,female,,Employed,,"Bachelors degree (BA, BSc., BEd., BEng.)",,Left,Labour,,10,88,77,100,0,8,10,20,Strongly disagree,Strongly agree,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly disagree,Strongly disagree,2,5,1,5,5,1,4,5,5,1,1,Yes,21,121,2,ISCED 5-8,18-24,passed,1,1,1,1,2,1,1,13,41.5884599378241,Higher,Lower,Neutral,Neutral,Higher,Higher,Lower,Higher,Neutral,Lower,2,2,,,1,2,2,2,,1,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
11694884,12/09/2024 11:45:30,38,Desktop or Laptop,Chrome 116.0.0.0,Start P,Yes,1,1,1,1,1,Yes,1,8,34,female,,Employed,,"Masters Degree, M.Phil, Post-Graduate Diplomas and Certificates",,Slightly left,Labour,,24,75,50,50,50,8,50,20,Strongly disagree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Strongly disagree,1,5,2,5,5,1,5,5,5,1,1,Yes,34,386,3,ISCED 5-8,Above 32,passed,0,1,1,1,1,1,1,12,16.129476122924764,Higher,Lower,Higher,Higher,Higher,Higher,Lower,Lower,Lower,Higher,1,2,2,1,1,2,2,1,1,1,Left,1,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
11694885,12/09/2024 11:45:31,38,Desktop or Laptop,Chrome 128.0.0.0,Start P,Yes,1,1,1,1,1,Yes,1,8,33,female,,Employed,,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",,Slightly left,Labour,,25,63,52,61,2,8,50,20,Disagree,Strongly agree,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,2,4,2,4,4,2,4,4,4,2,3,Yes,33,384,3,ISCED 3-4,Above 32,passed,0,2,2,2,2,2,2,23,23.58474082961269,Higher,Lower,Lower,Higher,Higher,Higher,Lower,Lower,Lower,Lower,2,1,1,1,1,1,1,1,1,1,Left,1,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
11694887,12/09/2024 11:45:45,38,Desktop or Laptop,Chrome 128.0.0.0,Start M,Yes,1,1,1,1,1,Yes,1,10,19,male,,Employed,,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",,Slightly left,Liberal Democrat,,21,17,86,4,28,4,50,39,Strongly disagree,Agree,Agree,Agree,Disagree,Strongly agree,Neutral,Strongly agree,Disagree,Strongly agree,Neutral,2,4,4,4,5,4,4,3,3,5,5,Yes,19,122,3,ISCED 3-4,18-24,passed,2,2,2,1,2,3,3,33,28.49140221189543,Higher,Lower,Higher,Higher,Lower,Neutral,Neutral,Lower,Higher,Lower,1,2,1,1,1,,,2,1,2,Left,1,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
11694888,12/09/2024 11:45:46,38,Desktop or Laptop,Chrome 128.0.0.0,Start P,Yes,1,1,1,1,1,Yes,1,3,34,male,,__other,College student,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",,Left,Labour,,5,55,65,60,10,8,25,10,Agree,Agree,Disagree,Strongly agree,Neutral,Strongly agree,Agree,Disagree,Disagree,Agree,Strongly disagree,4,4,2,5,5,2,4,4,5,3,4,Yes,34,388,2,ISCED 3-4,Above 32,passed,0,2,1,1,2,2,1,24,25.96150997149434,Higher,Higher,Lower,Higher,Neutral,Higher,Lower,Lower,Higher,Higher,1,1,1,2,,2,1,1,1,1,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
11694894,12/09/2024 11:47:15,38,Desktop or Laptop,Chrome 128.0.0.0,Start P,Yes,1,1,1,1,1,Yes,1,3,32,male,,Employed,,"Bachelors degree (BA, BSc., BEd., BEng.)",,Left,SNP,,22,55,37,58,7,4,10,10,Disagree,Strongly agree,Strongly disagree,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Strongly agree,Disagree,2,5,2,4,4,3,5,4,5,2,2,Yes,32,387,2,ISCED 5-8,Above 32,passed,2,1,2,2,1,2,1,20,19.405153954555477,Higher,Lower,Lower,Higher,Higher,Higher,Lower,Lower,Higher,Lower,2,1,2,1,1,1,1,2,1,1,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
11694895,12/09/2024 11:47:34,38,Desktop or Laptop,Chrome 128.0.0.0,Start M,Yes,1,1,1,1,1,Yes,1,7,29,male,,Employed,,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",,Left,SNP,,6,64,53,24,3,8,10,20,Agree,Strongly agree,Neutral,Strongly agree,Agree,Strongly agree,Agree,Disagree,Disagree,Strongly agree,Neutral,2,4,1,4,4,2,4,4,4,1,2,Yes,29,129,2,ISCED 3-4,25-31,passed,1,2,2,2,2,2,2,20,24.60081299469593,Higher,Higher,Neutral,Higher,Higher,Neutral,Lower,Lower,Higher,Higher,2,1,,2,1,,1,2,1,1,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
